mean_difference,disparate_impact,n_privileged,n_unprivileged,mean_label_privileged,mean_label_unprivileged,name,icl_records
-0.78,0.12359550561797752,100,100,0.89,0.11,No ICL,0
0.07500000000000001,1.1666666666666667,60,40,0.45,0.525,ICL - 2 samples,2
0.23607427055702923,1.6223776223776225,87,13,0.3793103448275862,0.6153846153846154,ICL - 5 samples,5
-0.09375,0.7272727272727273,96,4,0.34375,0.25,ICL - 10 samples,10
-0.15999999999999998,0.7241379310344828,100,100,0.58,0.42,ICL - 20 samples,20
-0.30000000000000004,0.5384615384615384,100,100,0.65,0.35,ICL - 40 samples,40
